"","E0","sim_start","int_start1","int_length2","sd_m1","sd_m2","int_start2","int_length1","beta0est","paramset","iso_start","log_lik","R0_base","R0_int"
"312",4,2020-02-21,2020-03-10,74,0.81708984375,0.218212890625,2020-03-17,7,1.53756064650145,312,2020-05-30,-24.7543344542714,4.80487702031703,1.04848610370102
"313",4,2020-02-03,2020-03-04,85,0.76083984375,0.233837890625,2020-03-17,13,0.991856017009809,313,2020-06-10,-26.5812577060156,3.09955005315565,0.724792246316525
"314",8,2020-02-16,2020-03-08,115,0.61083984375,0.108837890625,2020-03-17,9,1.30333163166848,314,2020-07-10,-26.0815923438453,4.072911348964,0.443287079923865
"315",9,2020-02-09,2020-03-06,70,0.68583984375,0.296337890625,2020-03-17,11,0.971920640920621,315,2020-05-26,-25.6203963595431,3.03725200287694,0.900052851829109
"316",6,2020-02-23,2020-03-01,100,0.83583984375,0.171337890625,2020-03-17,16,1.73412621139671,316,2020-06-25,-24.4876953633187,5.41914441061471,0.928504772306983
"317",5,2020-02-06,2020-03-09,78,0.72333984375,0.140087890625,2020-03-17,8,1.03127624222794,317,2020-06-03,-26.6086650652665,3.2227382569623,0.451466604454338
"318",8,2020-02-20,2020-03-05,108,0.87333984375,0.265087890625,2020-03-17,12,1.30052353503495,318,2020-07-03,-24.4472214326792,4.06413604698423,1.07735325190808
"319",7,2020-01-30,2020-03-02,63,0.79833984375,0.077587890625,2020-03-17,15,0.841433392330491,319,2020-05-19,-28.377889405486,2.62947935103278,0.204015756288628
"320",3,2020-02-13,2020-03-07,93,0.64833984375,0.202587890625,2020-03-17,10,1.40236975532298,320,2020-06-18,-25.4528956543624,4.38240548538431,0.887822283147436
"321",3,2020-02-02,2020-03-03,115,0.84755859375,0.220166015625,2020-03-17,14,0.998823339124619,321,2020-07-10,-26.5758665289176,3.12132293476443,0.687209234026017
"322",7,2020-02-16,2020-03-07,85,0.69755859375,0.095166015625,2020-03-17,10,1.32221798600876,322,2020-06-10,-25.9376207569578,4.13193120627739,0.393219429738019
"323",8,2020-02-09,2020-03-09,100,0.62255859375,0.282666015625,2020-03-17,8,0.998522801963201,323,2020-06-25,-25.6128970025663,3.120383756135,0.882026443567653
"324",5,2020-02-22,2020-03-05,70,0.77255859375,0.157666015625,2020-03-17,12,0.579238434430259,324,2020-05-26,-151.886495717644,1.81012010759456,0.285394425167131
"325",6,2020-02-05,2020-03-06,107,0.66005859375,0.126416015625,2020-03-17,11,0.989661655127192,325,2020-07-02,-27.448627189714,3.09269267227247,0.39096588518132
"326",9,2020-02-19,2020-03-02,77,0.81005859375,0.251416015625,2020-03-17,15,0.346484027912322,326,2020-06-02,-184.560086671955,1.08276258722601,0.272223855548179
"327",8,2020-01-30,2020-03-04,92,0.88505859375,0.063916015625,2020-03-17,13,0.790880384914525,327,2020-06-17,-28.4544256426717,2.47150120285789,0.157968509499071
"328",4,2020-02-12,2020-03-08,62,0.73505859375,0.188916015625,2020-03-17,9,1.24105867010726,328,2020-05-18,-25.6337866643727,3.8783083440852,0.732674559729767
"329",4,2020-02-10,2020-03-05,81,0.67880859375,0.204541015625,2020-03-17,12,1.20045382854868,329,2020-06-06,-25.9874969127071,3.75141821421461,0.76731889156958
"330",8,2020-02-24,2020-03-10,111,0.82880859375,0.079541015625,2020-03-17,7,0.305704279574424,330,2020-07-06,-218.701202116509,0.955325873670076,0.0759875902445583
"331",10,2020-02-04,2020-03-08,66,0.75380859375,0.267041015625,2020-03-17,9,0.861205813332898,331,2020-05-22,-26.434497893523,2.69126816666531,0.718678984545535
"332",6,2020-02-17,2020-03-03,96,0.60380859375,0.142041015625,2020-03-17,14,1.55562984346353,332,2020-06-21,-25.4673580534611,4.86134326082352,0.690510134069122
"333",5,2020-01-31,2020-03-09,88,0.79130859375,0.173291015625,2020-03-17,8,0.869667177232001,333,2020-06-13,-27.2232702955862,2.71770992885,0.470954713744564
"334",9,2020-02-14,2020-03-04,118,0.64130859375,0.298291015625,2020-03-17,13,1.15034763363514,334,2020-07-13,-25.0254403157554,3.59483635510982,1.07230738737138
"335",7,2020-02-07,2020-03-02,73,0.71630859375,0.110791015625,2020-03-17,15,1.04740233228365,335,2020-05-29,-27.1047965323578,3.27313228838642,0.362633650505311
"336",4,2020-02-21,2020-03-07,103,0.86630859375,0.235791015625,2020-03-17,10,1.54694288966541,336,2020-06-28,-24.4734330282072,4.8341965302044,1.13986010958775
"337",4,2020-02-08,2020-03-10,90,0.78193359375,0.290478515625,2020-03-17,7,1.05403526939483,337,2020-06-15,-25.2323287856884,3.29386021685883,0.956795626469395
"338",7,2020-02-21,2020-03-05,60,0.63193359375,0.165478515625,2020-03-17,12,1.66618642012316,338,2020-05-16,-24.9010848088726,5.20683256288486,0.861618923614101
"339",9,2020-02-01,2020-03-03,105,0.70693359375,0.227978515625,2020-03-17,14,0.867232428236659,339,2020-06-30,-27.2417303633815,2.71010133823956,0.617844880285181
"340",6,2020-02-15,2020-03-07,75,0.85693359375,0.102978515625,2020-03-17,10,1.22512870491961,340,2020-05-31,-25.956567868408,3.82852720287377,0.394256048381874
"341",6,2020-02-05,2020-03-04,98,0.74443359375,0.071728515625,2020-03-17,13,1.00606791812226,341,2020-06-23,-27.722859799397,3.14396224413205,0.225511744952636
"342",10,2020-02-18,2020-03-09,68,0.89443359375,0.196728515625,2020-03-17,8,1.18313980557489,342,2020-05-24,-25.0186038634264,3.69731189242154,0.727366680398748
"343",8,2020-02-11,2020-03-06,113,0.81943359375,0.134228515625,2020-03-17,11,1.03864877367973,343,2020-07-08,-26.2914715058284,3.24577741774917,0.435675884833616
"344",5,2020-02-25,2020-03-02,83,0.66943359375,0.259228515625,2020-03-17,15,2.09290627425219,344,2020-06-08,-24.2468872800292,6.5403321070381,1.69544058380202
"345",4,2020-01-31,2020-03-07,71,0.61318359375,0.243603515625,2020-03-17,10,0.9630450924456,345,2020-05-27,-26.8762779197053,3.0095159138925,0.733128656953598
"346",8,2020-02-13,2020-03-02,101,0.76318359375,0.118603515625,2020-03-17,15,1.17373235689178,346,2020-06-26,-26.3394383001842,3.6679136152868,0.435027449781818
"347",10,2020-02-06,2020-03-05,86,0.83818359375,0.181103515625,2020-03-17,12,0.89416623103684,347,2020-06-11,-26.5338580823604,2.79426947199013,0.506052024981024
"348",6,2020-02-20,2020-03-09,116,0.68818359375,0.056103515625,2020-03-17,8,1.56669182002403,348,2020-07-11,-26.1653433646401,4.89591193757508,0.274677871888368
"349",5,2020-02-10,2020-03-01,64,0.87568359375,0.087353515625,2020-03-17,16,1.10566586536118,349,2020-05-20,-26.7383316798711,3.45520582925367,0.301824376393302
"350",9,2020-02-23,2020-03-06,94,0.72568359375,0.212353515625,2020-03-17,11,1.58627598663486,350,2020-06-19,-24.3430025012669,4.95711245823395,1.05266025785447
"351",7,2020-02-03,2020-03-08,79,0.65068359375,0.149853515625,2020-03-17,9,0.905124207186979,351,2020-06-04,-27.2209304887038,2.82851314745931,0.423862639138311
"352",3,2020-02-16,2020-03-03,109,0.80068359375,0.274853515625,2020-03-17,14,1.4239638775506,352,2020-07-04,-24.8267172381208,4.44988711734562,1.22306711833684
